t,request_id,work_units,mem_mb
0,r0030,15,204
0,r0055,67,1945
0,r0077,97,1812
0,r0158,74,632
0,r0197,85,1830
1,r0049,15,1846
1,r0110,96,1154
2,r0051,14,1271
2,r0173,30,640
3,r0026,12,1349
3,r0094,27,1755
3,r0168,79,2016
4,r0014,2,988
4,r0017,32,806
4,r0089,92,635
4,r0122,76,1464
5,r0009,54,1396
6,r0078,100,920
6,r0153,25,656
7,r0059,93,1893
7,r0115,73,1991
7,r0118,100,1727
7,r0164,72,1615
8,r0021,34,286
8,r0028,82,586
8,r0033,6,681
8,r0091,20,523
8,r0155,36,143
9,r0092,91,488
9,r0114,31,308
9,r0178,10,172
10,r0102,60,1933
10,r0192,43,893
11,r0050,75,2021
11,r0106,7,582
11,r0130,94,1118
11,r0154,39,78
11,r0188,61,1112
12,r0001,38,495
12,r0054,33,140
12,r0072,19,100
12,r0075,92,1476
12,r0140,11,544
12,r0176,55,285
13,r0107,59,719
14,r0045,29,98
14,r0185,87,1762
15,r0008,75,1267
15,r0038,21,1688
15,r0071,87,685
15,r0080,16,984
15,r0113,26,1768
15,r0123,14,1477
15,r0134,12,621
15,r0135,97,1001
16,r0138,44,622
16,r0148,30,297
16,r0160,62,283
16,r0175,81,1257
17,r0027,6,57
17,r0131,79,1705
17,r0187,74,132
17,r0189,24,1248
18,r0065,27,930
18,r0069,66,1409
18,r0180,57,304
18,r0193,85,1985
19,r0060,86,886
19,r0119,14,1235
19,r0120,74,1437
19,r0179,77,1583
19,r0181,90,874
20,r0003,8,152
20,r0137,24,1048
20,r0149,16,1571
20,r0184,78,562
20,r0195,33,712
21,r0040,53,1692
21,r0070,12,1726
21,r0090,41,1878
21,r0127,2,1789
21,r0191,42,1422
22,r0097,39,1593
22,r0111,29,1381
22,r0146,55,1577
22,r0147,90,979
23,r0032,75,1181
24,r0108,36,1590
24,r0121,51,1978
24,r0166,58,1910
25,r0007,16,1978
25,r0012,17,1425
25,r0046,43,620
25,r0048,87,1777
25,r0064,71,1757
25,r0076,32,352
25,r0144,89,548
25,r0161,63,201
26,r0039,4,417
26,r0062,86,1975
26,r0093,43,1161
26,r0098,69,1580
26,r0109,33,1759
26,r0198,7,434
27,r0100,63,109
28,r0018,70,1490
28,r0029,71,1495
28,r0067,87,487
28,r0083,79,1719
28,r0085,21,1573
28,r0086,34,1589
28,r0159,44,427
28,r0172,89,1266
29,r0013,41,1952
29,r0044,45,675
29,r0074,54,1864
29,r0081,86,1137
30,r0043,29,458
30,r0073,79,1790
30,r0142,83,1507
31,r0025,33,1904
31,r0088,81,539
31,r0128,14,937
31,r0141,72,1602
31,r0190,12,1012
32,r0004,68,372
32,r0005,11,1793
32,r0016,34,321
32,r0053,15,838
32,r0084,55,1751
32,r0182,70,1061
33,r0010,41,1964
35,r0020,39,1958
35,r0156,38,1478
35,r0171,10,370
36,r0015,13,200
36,r0125,6,761
36,r0163,39,224
37,r0002,95,1160
37,r0104,73,1407
37,r0145,48,1019
37,r0167,55,675
37,r0186,3,1616
38,r0006,9,1432
38,r0023,27,1519
38,r0066,84,709
38,r0082,41,1995
38,r0099,29,1049
38,r0117,78,2023
38,r0165,80,512
38,r0183,6,1871
39,r0037,96,366
39,r0103,69,105
39,r0199,97,1070
40,r0087,36,1618
40,r0129,59,1498
40,r0157,97,1055
41,r0019,68,66
41,r0105,55,327
41,r0112,6,1594
41,r0177,20,1910
42,r0011,92,693
42,r0057,26,795
42,r0058,43,1326
42,r0101,87,1684
42,r0126,48,191
42,r0136,49,738
42,r0170,11,371
43,r0024,82,1796
43,r0035,32,1415
43,r0056,93,1975
43,r0124,77,1699
43,r0162,7,360
44,r0031,20,1167
44,r0042,14,833
44,r0061,38,1185
44,r0079,67,1001
44,r0116,33,1620
44,r0139,36,1188
44,r0174,59,195
46,r0052,41,943
46,r0133,76,599
47,r0022,71,368
47,r0041,32,596
47,r0063,23,1310
47,r0151,62,616
48,r0096,74,829
48,r0150,89,429
48,r0152,68,1272
48,r0169,27,1331
48,r0194,71,125
48,r0200,7,466
49,r0036,72,1860
49,r0047,36,769
49,r0095,75,1987
49,r0132,62,1002
49,r0196,52,1821
50,r0034,6,1890
50,r0068,95,397
50,r0143,3,240
